model,token,position,relative_position,seq_length,delta
ordinary_baseline,),47,0.7121212121212122,66,0.0031147003173828125
ordinary_baseline,c,48,0.7272727272727273,66,0.048279762268066406
ordinary_baseline,c,49,0.7424242424242424,66,0.048279762268066406
ordinary_baseline,c,50,0.7575757575757576,66,0.048279762268066406
ordinary_baseline,6,51,0.7727272727272727,66,0.0579524040222168
ordinary_baseline,[nH],52,0.7878787878787878,66,0.07994794845581055
ordinary_baseline,5,53,0.803030303030303,66,0.023573637008666992
ordinary_baseline,),54,0.8181818181818182,66,0.046163320541381836
ordinary_baseline,c,55,0.8333333333333334,66,0.06974315643310547
ordinary_baseline,4,56,0.8484848484848485,66,0.02960824966430664
ordinary_baseline,),57,0.8636363636363636,66,0.10791659355163574
ordinary_baseline,n,58,0.8787878787878788,66,0.13919830322265625
ordinary_baseline,c,59,0.8939393939393939,66,0.07653236389160156
ordinary_baseline,3,60,0.9090909090909091,66,0.11095714569091797
ordinary_baseline,c,61,0.9242424242424242,66,0.18147659301757812
ordinary_baseline,2,62,0.9393939393939394,66,0.1876211166381836
ordinary_baseline,),63,0.9545454545454546,66,0.13563776016235352
ordinary_baseline,n,64,0.9696969696969697,66,0.11249017715454102
ordinary_baseline,1,65,0.9848484848484849,66,0.025478363037109375
ordinary_baseline,[*],0,0.0,36,0.19284963607788086
ordinary_baseline,O,1,0.027777777777777776,36,0.28058338165283203
ordinary_baseline,c,2,0.05555555555555555,36,0.45068788528442383
ordinary_baseline,1,3,0.08333333333333333,36,0.4934730529785156
ordinary_baseline,c,4,0.1111111111111111,36,0.5372638702392578
ordinary_baseline,(,5,0.1388888888888889,36,0.43592357635498047
ordinary_baseline,Cl,6,0.16666666666666666,36,0.38963937759399414
ordinary_baseline,),7,0.19444444444444445,36,0.45142126083374023
ordinary_baseline,c,8,0.2222222222222222,36,0.537043571472168
ordinary_baseline,c,9,0.25,36,0.537043571472168
