source_id,model,strategy,budget,best_drift,oracle_drift,recovery_ratio,hit
poly_1493,ordinary_baseline,random,5,1.4209113121032715,2.0398173332214355,0.6965875272072817,0
poly_1294,ordinary_baseline,random,5,0.3250765800476074,2.4395828247070312,0.13325088894518095,0
poly_2531,ordinary_baseline,random,5,0.3559558391571045,1.4040453433990479,0.2535216122688548,0
poly_514,ordinary_baseline,random,5,0.20105981826782227,0.9305727481842041,0.21606029046105601,0
poly_244,ordinary_baseline,random,5,1.1803441047668457,1.5426135063171387,0.7651586738565637,0
poly_466,ordinary_baseline,random,5,0.14977145195007324,1.9077987670898438,0.078504847855906,0
poly_1171,ordinary_baseline,random,5,0.1600179672241211,2.111030340194702,0.07580088460943792,0
poly_3842,ordinary_baseline,random,5,0.5541539192199707,0.8810529708862305,0.6289677664471869,0
poly_3552,ordinary_baseline,random,5,0.5814194679260254,1.1986351013183594,0.4850679471062807,0
poly_1117,ordinary_baseline,random,5,0.25432252883911133,0.3123049736022949,0.8143403094277282,0
poly_3629,ordinary_baseline,random,5,0.491610050201416,1.3837828636169434,0.35526531157962277,0
poly_2356,ordinary_baseline,random,5,0.563908576965332,1.2538931369781494,0.4497261850593882,0
poly_1461,ordinary_baseline,random,5,0.8219404220581055,0.8219404220581055,1.0,1
poly_483,ordinary_baseline,random,5,0.11395549774169922,0.8581013679504395,0.13279957589845123,0
poly_1700,ordinary_baseline,random,5,0.4786224365234375,1.3227205276489258,0.3618469862066529,0
poly_3290,ordinary_baseline,random,5,0.36119508743286133,1.2184576988220215,0.2964362962965862,0
poly_2156,ordinary_baseline,random,5,0.3112196922302246,2.790864944458008,0.11151370575929613,0
poly_3385,ordinary_baseline,random,5,0.4105095863342285,1.169081687927246,0.35113849662811175,0
poly_967,ordinary_baseline,random,5,0.6588709354400635,1.1733856201171875,0.5615127066021665,0
poly_3072,ordinary_baseline,random,5,0.3588266372680664,1.2104525566101074,0.2964400672364776,0
poly_3316,ordinary_baseline,random,5,0.14660882949829102,0.7624101638793945,0.19229653071818575,0
poly_259,ordinary_baseline,random,5,0.6418092250823975,1.240156650543213,0.5175227055398788,0
poly_231,ordinary_baseline,random,5,0.897864580154419,1.2704389095306396,0.7067357378767096,0
poly_2052,ordinary_baseline,random,5,2.3476221561431885,2.381235122680664,0.9858842303234483,0
poly_128,ordinary_baseline,random,5,0.05530953407287598,0.3279879093170166,0.16863284438761603,0
poly_2200,ordinary_baseline,random,5,0.3767719268798828,1.1388933658599854,0.330822830454702,0
poly_32,ordinary_baseline,random,5,1.213907241821289,2.417356252670288,0.5021631546779126,0
poly_2124,ordinary_baseline,random,5,0.5554060935974121,1.0619773864746094,0.5229923919954309,0
poly_1654,ordinary_baseline,random,5,0.6681342124938965,0.9427571296691895,0.7087023703849821,0
poly_189,ordinary_baseline,random,5,0.13326430320739746,1.3062794208526611,0.10201822143107062,0
poly_769,ordinary_baseline,random,5,0.43419790267944336,0.9208202362060547,0.47153384081611516,0
poly_3655,mixed_robust,random,5,0.8299360275268555,0.8299360275268555,1.0,1
poly_2369,mixed_robust,random,5,0.10544252395629883,1.5326848030090332,0.06879596101513469,0
poly_1215,mixed_robust,random,5,0.31821417808532715,0.7808072566986084,0.40754510841868086,0
poly_4015,mixed_robust,random,5,0.32704877853393555,1.2188081741333008,0.26833490739139587,0
poly_517,mixed_robust,random,5,0.3191509246826172,0.6314969062805176,0.5053879464943047,0
poly_1159,mixed_robust,random,5,0.04901623725891113,0.165388822555542,0.2963697092797802,0
poly_2493,mixed_robust,random,5,0.9194202423095703,2.224945306777954,0.4132327385795497,0
poly_2226,mixed_robust,random,5,0.1880350112915039,1.061443567276001,0.17715026694642003,0
poly_17,mixed_robust,random,5,2.9465534687042236,2.9465532302856445,1.0000000809143974,1
poly_956,mixed_robust,random,5,0.3035888671875,1.301151990890503,0.2333231392742404,0
poly_898,mixed_robust,random,5,0.0036153793334960938,0.6012089252471924,0.006013515737494413,0
poly_1667,mixed_robust,random,5,0.04491281509399414,0.8759558200836182,0.05127292274821211,0
poly_3362,mixed_robust,random,5,0.18255186080932617,0.9646973609924316,0.18923225893509865,0
poly_3703,mixed_robust,random,5,1.1980586051940918,2.0321717262268066,0.5895459471914624,0
poly_793,mixed_robust,random,5,0.19944143295288086,0.3988981246948242,0.49998087382702766,0
poly_3189,mixed_robust,random,5,0.8784451484680176,1.1342229843139648,0.7744906959360777,0
poly_2734,mixed_robust,random,5,0.36133384704589844,2.808436393737793,0.12866014977287538,0
poly_1549,mixed_robust,random,5,0.4809432029724121,1.0073580741882324,0.4774302358771229,0
poly_3746,mixed_robust,random,5,0.5785403251647949,0.5850796699523926,0.9888231549933537,0
poly_2736,mixed_robust,random,5,0.12666749954223633,0.6163196563720703,0.2055224074595595,0
poly_1005,mixed_robust,random,5,0.5554754734039307,0.8185403347015381,0.6786171063964392,0
poly_367,mixed_robust,random,5,0.9830119609832764,2.0614423751831055,0.47685638600300984,0
poly_2223,mixed_robust,random,5,0.3749089241027832,1.853945255279541,0.20222221936442983,0
poly_3386,mixed_robust,random,5,0.30512237548828125,1.343757152557373,0.22706660567914913,0
poly_1160,mixed_robust,random,5,0.807429313659668,1.450294017791748,0.556734912889649,0
poly_1072,mixed_robust,random,5,0.5676918029785156,0.6259419918060303,0.9069399567531083,0
poly_675,mixed_robust,random,5,0.9862556457519531,1.253645896911621,0.7867099060281786,0
poly_754,mixed_robust,random,5,0.14815926551818848,0.5325446128845215,0.2782100540191095,0
poly_2459,mixed_robust,random,5,0.41700029373168945,1.9758720397949219,0.21104620407249167,0
poly_155,mixed_robust,random,5,0.08463525772094727,1.3630695343017578,0.06209166560552781,0
poly_2461,mixed_robust,random,5,1.382066249847412,1.3820664882659912,0.9999998274912378,1
poly_2368,mixed_robust,random,5,0.15651226043701172,1.5698003768920898,0.09970201481724486,0
poly_512,mixed_robust,random,5,0.17292308807373047,0.7300598621368408,0.2368615192288412,0
poly_1419,mixed_robust,random,5,1.0239667892456055,1.1718230247497559,0.8738237495071193,0
poly_2967,mixed_robust,random,5,0.16009283065795898,1.0829310417175293,0.14783289470034183,0
