query_budget,method,source_id,source_smiles,phase12b_drift_eV,phase12b_queries,v2_drift_eV,v2_queries,v2_operator_edits,v2_atom_edits,drift_ratio_v2_over_phase12b
50,random,17,*C(=NCCCCCC)N(*)CCCCCC,0.9751415252685547,50,1.1031389236450195,43,1,1,1.131260329972323
50,random,18,*CC#CC#CCOC(=O)CCCCC(=O)O*,0.7486977577209473,50,0.7486977577209473,36,1,1,1.0
50,random,19,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,2.3948287963867188,50,1.2916970252990723,26,1,1,0.5393692556428105
50,random,20,*CC(C)(C)CS(*)(=O)=O,2.9919300079345703,50,1.848855972290039,14,1,1,0.6179476015103597
50,random,21,*C(F)C(*)(F)OC(F)(F)F,2.505124568939209,50,0.4414043426513672,19,1,1,0.1762005563013895
50,random,22,*CC(*)C(=O)OCCCCC,1.6253681182861328,50,1.6253681182861328,28,1,1,1.0
50,random,23,*CC(*)(C)C(=O)OCCCOC,1.6234326362609863,50,1.5174193382263184,31,1,1,0.9346980615845984
50,random,24,*C=CCCCCCCCCCC*,1.2018084526062012,50,1.2018084526062012,34,1,1,1.0
50,random,25,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,2.3054351806640625,50,0.23730230331420898,23,1,1,0.10293167437735375
50,random,26,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,2.271700382232666,50,1.6965265274047852,28,1,1,0.7468091041730643
50,random,27,*CCCCCCCCCCCCC(=O)N*,1.3280911445617676,50,1.3280911445617676,43,1,1,1.0
50,random,28,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.6876797676086426,50,1.3996682167053223,30,1,1,0.8293446680874665
50,random,29,*CCCCCNC(=O)C(OC)C(OC)C(=O)N*,0.9211139678955078,50,0.9557809829711914,47,1,1,1.0376359671918647
50,greedy,0,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,1.0718984603881836,50,0.6894159317016602,50,1,1,0.6431727977778707
50,greedy,1,*CC(*)C=C,1.9759349822998047,50,2.118569850921631,24,3,3,1.07218601315303
50,greedy,2,*CC(=S)NO*,2.6674723625183105,50,3.055210590362549,33,3,2,1.1453579175898871
