source_id,op,clean_pos,adv_pos,clean_delta,adv_delta
3650,matched,27.0,27.0,0.026458740234375,0.0389051437377929
3650,substituted,28.0,28.0,0.0200576782226562,0.0394349098205566
3657,matched,0.0,0.0,0.6919031143188477,0.5223958492279053
3657,matched,1.0,1.0,0.7017698287963867,0.540823221206665
3657,matched,2.0,2.0,0.5077481269836426,0.4055798053741455
3657,matched,3.0,3.0,0.5267930030822754,0.3788197040557861
3657,matched,4.0,4.0,0.5267930030822754,0.3788197040557861
3657,matched,5.0,5.0,0.5267930030822754,0.3788197040557861
3657,matched,6.0,6.0,0.636620044708252,0.5354712009429932
3657,matched,7.0,7.0,0.5176496505737305,0.438227891921997
3657,matched,8.0,8.0,0.3531055450439453,0.2939231395721435
3657,matched,9.0,9.0,0.4728960990905761,0.3952529430389404
3657,matched,10.0,10.0,0.486386775970459,0.402980089187622
3657,matched,11.0,11.0,0.0513896942138671,0.1138772964477539
3657,matched,12.0,12.0,0.1244702339172363,0.1530647277832031
3657,matched,13.0,13.0,0.1256952285766601,0.2682907581329345
3657,matched,14.0,14.0,0.0534968376159668,0.2064564228057861
3657,matched,15.0,15.0,0.0534968376159668,0.2064564228057861
3657,matched,16.0,16.0,0.0324835777282714,0.1219725608825683
3657,matched,17.0,17.0,0.167980670928955,0.0111792087554931
3657,matched,18.0,18.0,0.4161088466644287,0.3524768352508545
3657,matched,19.0,19.0,0.4661388397216797,0.4059102535247803
3657,matched,20.0,20.0,0.4661388397216797,0.4059102535247803
3657,matched,21.0,21.0,0.4661388397216797,0.4059102535247803
3657,matched,22.0,22.0,0.3837840557098388,0.3013617992401123
3657,matched,23.0,23.0,0.3525612354278564,0.2773463726043701
3657,matched,24.0,24.0,0.0025222301483154,0.0476496219635009
