source_id,type,token,position,delta
3621,clean,C,26,0.2219085693359375
3621,clean,(,27,0.2731447219848633
3621,clean,=,28,0.06278085708618164
3621,clean,O,29,0.11757612228393555
3621,clean,),30,0.030523300170898438
3621,clean,N,31,0.043799400329589844
3621,clean,[*],32,0.1587810516357422
3621,clean,),33,0.15109586715698242
3621,clean,c,34,0.06675291061401367
3621,clean,1,35,0.006877899169921875
3621,mcmc_adv,[*],0,0.24179601669311523
3621,mcmc_adv,C,1,0.07112979888916016
3621,mcmc_adv,C,2,0.07112979888916016
3621,mcmc_adv,N,3,0.0138702392578125
3621,mcmc_adv,[N+],4,0.013484954833984375
3621,mcmc_adv,N,5,0.7495782375335693
3621,mcmc_adv,C,6,0.7861692905426025
3621,mcmc_adv,C,7,0.7861692905426025
3621,mcmc_adv,[N+],8,1.1562294960021973
3621,mcmc_adv,C,9,0.6932969093322754
3621,mcmc_adv,/,10,0.6910262107849121
3621,mcmc_adv,C,11,0.6974077224731445
3621,mcmc_adv,C,12,0.6974077224731445
3621,mcmc_adv,C,13,0.6974077224731445
3621,mcmc_adv,I,14,0.7711968421936035
3621,mcmc_adv,C,15,0.865483283996582
3621,mcmc_adv,C,16,0.865483283996582
3621,mcmc_adv,N,17,0.6733756065368652
3621,mcmc_adv,C,18,0.7202625274658203
3621,mcmc_adv,(,19,0.8041520118713379
3621,mcmc_adv,=,20,0.9598078727722168
3621,mcmc_adv,O,21,0.3062734603881836
3621,mcmc_adv,),22,0.6775989532470703
3621,mcmc_adv,c,23,0.7736406326293945
3621,mcmc_adv,1,24,0.5892226696014404
3621,mcmc_adv,c,25,0.4853067398071289
3621,mcmc_adv,c,26,0.4853067398071289
3621,mcmc_adv,c,27,0.4853067398071289
3621,mcmc_adv,c,28,0.4853067398071289
3621,mcmc_adv,(,29,0.058487653732299805
3621,mcmc_adv,C,30,0.08583927154541016
3621,mcmc_adv,(,31,0.16100025177001953
3621,mcmc_adv,=,32,0.019004344940185547
3621,mcmc_adv,O,33,0.030516386032104492
3621,mcmc_adv,),34,0.030347824096679688
3621,mcmc_adv,\,35,0.23880887031555176
3621,mcmc_adv,N,36,0.1540513038635254
3621,mcmc_adv,[*],37,0.10033178329467773
3621,mcmc_adv,),38,0.464461088180542
3621,mcmc_adv,c,39,0.49042606353759766
3621,mcmc_adv,1,40,0.10129308700561523
3623,clean,[*],0,1.580913782119751
3623,clean,O,1,1.5889625549316406
3623,clean,c,2,1.227640151977539
3623,clean,1,3,1.2901685237884521
3623,clean,c,4,1.1862540245056152
3623,clean,c,5,1.1862540245056152
3623,clean,c,6,1.1862540245056152
3623,clean,(,7,1.1614627838134766
3623,clean,C,8,1.229001760482788
3623,clean,(,9,1.2767066955566406
3623,clean,=,10,0.8068461418151855
3623,clean,O,11,0.9483866691589355
3623,clean,),12,0.9221282005310059
3623,clean,O,13,1.0081706047058105
3623,clean,C,14,0.9668521881103516
3623,clean,C,15,0.9668521881103516
3623,clean,C,16,0.9668521881103516
3623,clean,C,17,0.9668521881103516
3623,clean,C,18,0.9668521881103516
3623,clean,C,19,0.9668521881103516
3623,clean,O,20,0.9861311912536621
3623,clean,C,21,0.7969279289245605
3623,clean,(,22,0.8185925483703613
3623,clean,=,23,0.39244985580444336
3623,clean,O,24,0.5417351722717285
3623,clean,),25,0.5001101493835449
3623,clean,c,26,0.4554414749145508
3623,clean,2,27,0.4294853210449219
3623,clean,c,28,0.293398380279541
3623,clean,c,29,0.293398380279541
3623,clean,c,30,0.293398380279541
3623,clean,(,31,0.3859567642211914
3623,clean,[*],32,0.43597888946533203
3623,clean,),33,0.36840343475341797
3623,clean,c,34,0.17926025390625
